"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AL1","AY1","AY2","GA1","GA2","GA3","GA4","GF1","GJ1","IA1","IA2","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"07156099999","2003-01-01T01:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","190,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0056,1","+0041,1","10142,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10047,1","8,1,008,1,+999,9",,"SYN060AAXX  01014 07156 36/// /1904 10056 20041 30047 40142 58008;","Q01  00002PRCP06"
"07156099999","2003-01-01T02:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","180,1,N,0021,1","99999,9,9,N","999999,9,N,1","+0057,1","+0043,1","10139,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10044,1","6,1,014,1,+999,9",,"SYN060AAXX  01024 07156 36/// /1804 10057 20043 30044 40139 56014;","Q01  00002PRCP06"
"07156099999","2003-01-01T04:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","160,1,N,0031,1","99999,9,9,N","999999,9,N,1","+0058,1","+0046,1","10120,1","06,0000,9,1",,,,,,,,,,,,,,,,"99999,9,10025,1","8,1,022,1,+999,9",,"SYN060AAXX  01044 07156 36/// /1606 10058 20046 30025 40120 58022;","Q01  00002PRCP06"
"07156099999","2003-01-01T05:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","180,1,N,0041,1","00390,1,9,N","006000,1,N,1","+0060,1","+0051,1","10108,1","01,9999,2,9",,,,"5,1,99,9","2,1,99,9","08,1,+00390,9,07,9",,,,"08,99,1,08,1,07,1,00450,1,99,9,99,9",,,,,,"99999,9,10014,1","8,1,030,1,+999,9","50,1","SYN088AAXX  01054 07156 21456 81808 10060 20051 30014 40108 58030 75052 887// 333 69905 88713;",
"07156099999","2003-01-01T07:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","190,1,N,0041,1","00390,1,9,N","006000,1,N,1","+0077,1","+0073,1","10082,1","01,0002,9,1",,,,"5,1,99,9","5,1,99,9","07,1,+00390,9,07,9",,,,"07,99,1,07,1,07,1,00450,1,99,9,99,9",,,,,,"99999,9,09989,1","8,1,036,1,+999,9","50,1","SYN088AAXX  01074 07156 21456 71908 10077 20073 39989 40082 58036 75055 877// 333 69925 87713;",
"07156099999","2003-01-01T08:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","210,1,N,0051,1","00390,1,9,N","006000,1,N,1","+0087,1","+0079,1","10071,1","01,9999,2,9",,,,"5,1,99,9","2,1,99,9","08,1,+00390,9,06,9",,,,"08,99,1,08,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,09978,1","6,1,036,1,+999,9","20,1","SYN088AAXX  01084 07156 21456 82110 10087 20079 39978 40071 56036 72052 885// 333 69905 88613;",
"07156099999","2003-01-01T10:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","200,1,N,0062,1","00390,1,9,N","008000,1,N,1","+0098,1","+0089,1","10051,1","06,0000,2,1",,,,,,"08,1,+00390,9,06,9",,,,"08,99,1,08,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,09959,1","6,1,030,1,+999,9",,"SYN076AAXX  01104 07156 32458 82012 10098 20089 39959 40051 56030 885// 333 88613;",
"07156099999","2003-01-01T11:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","210,1,N,0062,1","00390,1,9,N","008000,1,N,1","+0103,1","+0091,1","10042,1","01,9999,2,9",,,,"6,1,99,9","2,1,99,9","08,1,+00390,9,06,9",,,,"08,99,1,08,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,09950,1","7,1,028,1,+999,9","61,1","SYN088AAXX  01114 07156 21458 82112 10103 20091 39950 40042 57028 76162 885// 333 69905 88613;",
"07156099999","2003-01-01T13:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","210,1,N,0062,1","00390,1,9,N","008000,1,N,1","+0107,1","+0098,1","10016,1","01,0002,9,1",,,,"6,1,99,9","2,1,99,9","08,1,+00390,9,06,9",,,,"08,99,1,08,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,09924,1","8,1,035,1,+999,9","21,1","SYN088AAXX  01134 07156 21458 82112 10107 20098 39924 40016 58035 72162 885// 333 69925 88613;",
"07156099999","2003-01-01T14:00:00","4","48.8166666","2.3333333","77.0","PARIS MONTSOURIS, FR","FM-12","99999","V020","220,1,N,0072,1","00480,1,9,N","008000,1,N,1","+0119,1","+0105,1","10003,1","01,9999,2,9",,,,"6,1,99,9","2,1,99,9","08,1,+00480,9,06,9",,,,"08,99,1,08,1,05,1,00450,1,99,9,99,9",,,,,,"99999,9,09912,1","7,1,038,1,+999,9","60,1","SYN088AAXX  01144 07156 21458 82214 10119 20105 39912 40003 57038 76062 885// 333 69905 88616;",
